form,seed,method,dimension,precision,recall,tp,edges,recommended_scale,error
D^36,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,21,plateau,2.0,1.0,0.3333333333333333,1,1,3.3654370279935696e-15,
D^36,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,22,plateau,2.0,1.0,0.3333333333333333,1,1,3.992948789774935e-15,
D^36,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,27,plateau,2.0,1.0,0.3333333333333333,1,1,4.970980393486061e-15,
D^36,27,window,6.0,0.6,1.0,3,5,3.072162541503849e-26,
D^40,3,plateau,2.0,1.0,0.3333333333333333,1,1,5.136252448579274e-16,
D^40,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,7.082482473288009e-23,
D^40,4,window,5.0,0.5,0.6666666666666666,2,4,1.4487001467117015e-25,
D^40,6,plateau,2.0,1.0,0.3333333333333333,1,1,6.996017666666132e-16,
D^40,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,8,plateau,2.0,1.0,0.3333333333333333,1,1,6.393205021660763e-16,
D^40,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,12,plateau,2.0,1.0,0.3333333333333333,1,1,7.157713547266105e-16,
D^40,12,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,13,plateau,2.0,1.0,0.3333333333333333,1,1,6.289979354061753e-16,
D^40,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,18,plateau,2.0,1.0,0.3333333333333333,1,1,4.4235926553012433e-16,
D^40,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,21,plateau,2.0,1.0,0.3333333333333333,1,1,5.608206738717209e-16,
D^40,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,22,plateau,2.0,1.0,0.3333333333333333,1,1,6.653900223286184e-16,
D^40,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^40,27,plateau,2.0,1.0,0.3333333333333333,1,1,8.283704480059437e-16,
D^40,27,window,6.0,0.6,1.0,3,5,7.2168854778987065e-28,
D^48,3,plateau,2.0,1.0,0.3333333333333333,1,1,1.4265966978667337e-17,
D^48,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,4,plateau,2.0,1.0,0.3333333333333333,1,1,2.4317652712818748e-17,
D^48,4,window,5.0,0.5,0.6666666666666666,2,4,1.5947003641773695e-28,
D^48,6,plateau,2.0,1.0,0.3333333333333333,1,1,1.943147424279764e-17,
D^48,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,8,plateau,2.0,1.0,0.3333333333333333,1,1,1.7757159066089374e-17,
D^48,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,12,plateau,2.0,1.0,0.3333333333333333,1,1,1.988058533575904e-17,
D^48,12,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,13,plateau,2.0,1.0,0.3333333333333333,1,1,1.7470449239445716e-17,
D^48,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,18,plateau,2.0,1.0,0.3333333333333333,1,1,1.2286550810153907e-17,
D^48,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,21,plateau,2.0,1.0,0.3333333333333333,1,1,1.557682240079656e-17,
D^48,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,22,plateau,2.0,1.0,0.3333333333333333,1,1,1.8481241278851603e-17,
D^48,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^48,27,plateau,2.0,1.0,0.3333333333333333,1,1,2.3008030834769905e-17,
D^48,27,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,3,plateau,2.0,1.0,0.3333333333333333,1,1,1.1007434279833611e-20,
D^64,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,4,plateau,2.0,1.0,0.3333333333333333,1,1,1.876318404996201e-20,
D^64,4,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,6,plateau,2.0,1.0,0.3333333333333333,1,1,1.499307239588043e-20,
D^64,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,8,plateau,2.0,1.0,0.3333333333333333,1,1,1.3701192615242167e-20,
D^64,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,12,plateau,2.0,1.0,0.3333333333333333,1,1,1.5339600663277836e-20,
D^64,12,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,13,plateau,2.0,1.0,0.3333333333333333,1,1,1.3479971047099786e-20,
D^64,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,18,plateau,2.0,1.0,0.3333333333333333,1,1,9.480142549165077e-21,
D^64,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,21,plateau,2.0,1.0,0.3333333333333333,1,1,1.2018873247734128e-20,
D^64,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,22,plateau,2.0,1.0,0.3333333333333333,1,1,1.4259885017090644e-20,
D^64,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^64,27,plateau,2.0,1.0,0.3333333333333333,1,1,1.7752696870849045e-20,
D^64,27,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
